"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2014","AQS","290950034","1","32.8","ppb","30","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/02/2014","AQS","290950034","1","38.5","ppb","36","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/03/2014","AQS","290950034","1","38.5","ppb","36","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/04/2014","AQS","290950034","1","32.8","ppb","30","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/05/2014","AQS","290950034","1","17.7","ppb","16","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/06/2014","AQS","290950034","1","29.3","ppb","27","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/07/2014","AQS","290950034","1","60.5","ppb","57","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/08/2014","AQS","290950034","1","62.6","ppb","60","Troost","22","92.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/09/2014","AQS","290950034","1","29.3","ppb","27","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/10/2014","AQS","290950034","1","23.5","ppb","22","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/11/2014","AQS","290950034","1","27.7","ppb","25","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/12/2014","AQS","290950034","1","33.2","ppb","31","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
"01/13/2014","AQS","290950034","1","36.3","ppb","34","Troost","24","100.0000","42602","Nitrogen dioxide (NO2)","28140","Kansas City, MO-KS","29","Missouri","095","Jackson","39.1046863699472","-94.5707895938208"
