Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,290870008,1,0.003,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
1/7/2016,AQS,290870008,1,0.007,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
1/13/2016,AQS,290870008,1,0.003,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
1/19/2016,AQS,290870008,1,0.012,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
1/25/2016,AQS,290870008,1,0.006,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
1/31/2016,AQS,290870008,1,0.009,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
2/6/2016,AQS,290870008,1,0.018,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
2/12/2016,AQS,290870008,1,0.021,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
2/18/2016,AQS,290870008,1,0.006,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
2/24/2016,AQS,290870008,1,0.01,ug/m3 LC,.,"Forest City, Exide Levee (ESP SCHULYKILL WEST SITE LOCATED ON A LEVEE)",1,100,14129,Lead (TSP) LC,,,29,Missouri,87,Holt,40.027222,-95.235833
