"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/27/2020","AirNow","290030001","1","0.035","ppm","32","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"02/28/2020","AirNow","290030001","1","0.036","ppm","33","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"02/29/2020","AirNow","290030001","1","0.042","ppm","39","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/01/2020","AQS","290030001","1","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/02/2020","AQS","290030001","1","0.039","ppm","36","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/03/2020","AQS","290030001","1","0.042","ppm","39","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/04/2020","AQS","290030001","1","0.039","ppm","36","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/05/2020","AQS","290030001","1","0.041","ppm","38","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/06/2020","AQS","290030001","1","0.041","ppm","38","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/07/2020","AQS","290030001","1","0.049","ppm","45","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/08/2020","AQS","290030001","1","0.049","ppm","45","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/09/2020","AQS","290030001","1","0.025","ppm","23","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/10/2020","AQS","290030001","1","0.028","ppm","26","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/11/2020","AQS","290030001","1","0.039","ppm","36","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/12/2020","AQS","290030001","1","0.034","ppm","31","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/13/2020","AQS","290030001","1","0.039","ppm","36","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/14/2020","AQS","290030001","1","0.037","ppm","34","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/15/2020","AQS","290030001","1","0.034","ppm","31","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/16/2020","AQS","290030001","1","0.028","ppm","26","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/17/2020","AQS","290030001","1","0.022","ppm","20","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/18/2020","AQS","290030001","1","0.019","ppm","18","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/19/2020","AQS","290030001","1","0.033","ppm","31","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/20/2020","AQS","290030001","1","0.037","ppm","34","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/21/2020","AQS","290030001","1","0.042","ppm","39","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/22/2020","AQS","290030001","1","0.026","ppm","24","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/23/2020","AQS","290030001","1","0.026","ppm","24","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/24/2020","AQS","290030001","1","0.03","ppm","28","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/25/2020","AQS","290030001","1","0.038","ppm","35","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/26/2020","AQS","290030001","1","0.023","ppm","21","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/27/2020","AQS","290030001","1","0.016","ppm","15","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/28/2020","AQS","290030001","1","0.038","ppm","35","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/29/2020","AQS","290030001","1","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/30/2020","AQS","290030001","1","0.044","ppm","41","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/31/2020","AirNow","290030001","1","0.053","ppm","49","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/02/2020","AQS","290030001","1","0.041","ppm","38","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/03/2020","AQS","290030001","1","0.03","ppm","28","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/04/2020","AQS","290030001","1","0.031","ppm","29","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/05/2020","AQS","290030001","1","0.036","ppm","33","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/06/2020","AQS","290030001","1","0.027","ppm","25","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/07/2020","AQS","290030001","1","0.055","ppm","51","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/08/2020","AQS","290030001","1","0.048","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/09/2020","AQS","290030001","1","0.046","ppm","43","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/10/2020","AQS","290030001","1","0.044","ppm","41","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/11/2020","AQS","290030001","1","0.046","ppm","43","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/12/2020","AQS","290030001","1","0.037","ppm","34","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/13/2020","AQS","290030001","1","0.044","ppm","41","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/14/2020","AQS","290030001","1","0.046","ppm","43","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/15/2020","AQS","290030001","1","0.048","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/16/2020","AQS","290030001","1","0.038","ppm","35","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/17/2020","AQS","290030001","1","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/18/2020","AQS","290030001","1","0.046","ppm","43","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/19/2020","AQS","290030001","1","0.041","ppm","38","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/20/2020","AQS","290030001","1","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/21/2020","AQS","290030001","1","0.045","ppm","42","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/22/2020","AQS","290030001","1","0.044","ppm","41","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/23/2020","AQS","290030001","1","0.05","ppm","46","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/24/2020","AQS","290030001","1","0.038","ppm","35","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/25/2020","AQS","290030001","1","0.043","ppm","40","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/26/2020","AQS","290030001","1","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
