Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,290210005,3,18,ug/m3 SC,17,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/2/2020,AQS,290210005,3,16,ug/m3 SC,15,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/3/2020,AQS,290210005,3,12,ug/m3 SC,11,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/4/2020,AQS,290210005,3,13,ug/m3 SC,12,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/5/2020,AQS,290210005,3,16,ug/m3 SC,15,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/6/2020,AQS,290210005,3,30,ug/m3 SC,28,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/7/2020,AQS,290210005,3,22,ug/m3 SC,20,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/8/2020,AQS,290210005,3,31,ug/m3 SC,29,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/9/2020,AQS,290210005,3,47,ug/m3 SC,44,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/10/2020,AQS,290210005,3,15,ug/m3 SC,14,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/11/2020,AQS,290210005,3,8,ug/m3 SC,7,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/12/2020,AQS,290210005,3,11,ug/m3 SC,10,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/13/2020,AQS,290210005,3,11,ug/m3 SC,10,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/14/2020,AQS,290210005,3,13,ug/m3 SC,12,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/15/2020,AQS,290210005,3,13,ug/m3 SC,12,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/16/2020,AQS,290210005,3,15,ug/m3 SC,14,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/17/2020,AQS,290210005,3,7,ug/m3 SC,6,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/18/2020,AQS,290210005,3,10,ug/m3 SC,9,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/19/2020,AQS,290210005,3,9,ug/m3 SC,8,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/20/2020,AQS,290210005,3,11,ug/m3 SC,10,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/21/2020,AQS,290210005,3,22,ug/m3 SC,20,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/22/2020,AQS,290210005,3,11,ug/m3 SC,10,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/23/2020,AQS,290210005,3,6,ug/m3 SC,6,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/24/2020,AQS,290210005,3,10,ug/m3 SC,9,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/25/2020,AQS,290210005,3,9,ug/m3 SC,8,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/26/2020,AQS,290210005,3,10,ug/m3 SC,9,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/27/2020,AQS,290210005,3,10,ug/m3 SC,9,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/28/2020,AQS,290210005,3,17,ug/m3 SC,16,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/29/2020,AQS,290210005,3,10,ug/m3 SC,9,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/30/2020,AQS,290210005,3,18,ug/m3 SC,17,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
1/31/2020,AQS,290210005,3,11,ug/m3 SC,10,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/1/2020,AQS,290210005,3,12,ug/m3 SC,11,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/2/2020,AQS,290210005,3,23,ug/m3 SC,21,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/3/2020,AQS,290210005,3,21,ug/m3 SC,19,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/4/2020,AQS,290210005,3,39,ug/m3 SC,36,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/5/2020,AQS,290210005,3,23,ug/m3 SC,21,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/6/2020,AQS,290210005,3,25,ug/m3 SC,23,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/7/2020,AQS,290210005,3,18,ug/m3 SC,17,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/8/2020,AQS,290210005,3,13,ug/m3 SC,12,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/9/2020,AQS,290210005,3,15,ug/m3 SC,14,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/10/2020,AQS,290210005,3,23,ug/m3 SC,21,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/11/2020,AQS,290210005,3,22,ug/m3 SC,20,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/12/2020,AQS,290210005,3,22,ug/m3 SC,20,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/13/2020,AQS,290210005,3,18,ug/m3 SC,17,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/14/2020,AQS,290210005,3,29,ug/m3 SC,27,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/15/2020,AQS,290210005,3,18,ug/m3 SC,17,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/16/2020,AQS,290210005,3,18,ug/m3 SC,17,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/17/2020,AQS,290210005,3,27,ug/m3 SC,25,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
2/18/2020,AQS,290210005,3,26,ug/m3 SC,24,St. Joseph Pump Station,1,100,81102,PM10 Total 0-10um STP,41140,"St. Joseph, MO-KS",29,Missouri,21,Buchanan,39.74169449,-94.85858409
