Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",19,79,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/2/2021,AQS,290950042,1,0.6,ppm,7,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/3/2021,AQS,290950042,1,0.6,ppm,7,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/4/2021,AQS,290950042,1,0.5,ppm,6,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/5/2021,AQS,290950042,1,0.8,ppm,9,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/6/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/7/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/8/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/9/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/10/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/11/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/12/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/13/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/14/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/15/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/16/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/17/2021,AQS,290950042,1,0.5,ppm,6,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/18/2021,AQS,290950042,1,0.6,ppm,7,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/19/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/20/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/21/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/22/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/23/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/24/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/25/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/26/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/27/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/28/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/29/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/30/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/31/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/1/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/2/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/3/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/4/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/5/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/6/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/7/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/8/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/9/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/10/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/11/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/12/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/13/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/14/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/15/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/16/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",8,33,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/17/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/18/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/19/2021,AQS,290950042,1,0.5,ppm,6,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/20/2021,AQS,290950042,1,0.5,ppm,6,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/21/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/22/2021,AQS,290950042,1,0.3,ppm,3,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/23/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
2/24/2021,AQS,290950042,1,0.4,ppm,5,"Blue Ridge, I-70",24,100,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
