"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2021","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/02/2021","AQS","170010007","1","0.044","ppm","41","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/03/2021","AQS","170010007","1","0.046","ppm","43","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/04/2021","AQS","170010007","1","0.045","ppm","42","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/05/2021","AQS","170010007","1","0.042","ppm","39","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/06/2021","AQS","170010007","1","0.05","ppm","46","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/07/2021","AQS","170010007","1","0.052","ppm","48","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/08/2021","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/09/2021","AQS","170010007","1","0.057","ppm","58","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/10/2021","AQS","170010007","1","0.048","ppm","44","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/11/2021","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","13","76.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/12/2021","AQS","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/13/2021","AQS","170010007","1","0.042","ppm","39","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/14/2021","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/15/2021","AQS","170010007","1","0.035","ppm","32","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/16/2021","AQS","170010007","1","0.033","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/17/2021","AQS","170010007","1","0.034","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/18/2021","AQS","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/19/2021","AQS","170010007","1","0.044","ppm","41","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/20/2021","AQS","170010007","1","0.048","ppm","44","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
